,transaction_date,ticker,asset_description,type,amount,representative
1876,2021-01-20,SCHW,Charles Schwab Corp,purchase,"$1,001 - $15,000",Kurt Schrader
1877,2021-01-20,APD,Air Products & Chemicals,purchase,"$1,001 - $15,000",Kurt Schrader
1878,2021-01-20,ASML,ASML Holding,purchase,"$1,001 - $15,000",Kurt Schrader
1879,2021-01-06,BABA,Alibaba Group Holdings Ltd,sale_full,"$1,001 - $15,000",Kurt Schrader
1880,2021-01-20,CB,Chubb Ltd,sale_full,"$1,001 - $15,000",Kurt Schrader
1881,2021-01-20,UNP,Union Pacific Corporation,sale_full,"$1,001 - $15,000",Kurt Schrader
1882,2020-02-05,APD,"Air Products and Chemicals, Inc.",purchase,"$1,001 - $15,000",Josh Gottheimer
1883,2020-02-04,APD,"Air Products and Chemicals, Inc.",purchase,"$1,001 - $15,000",Josh Gottheimer
1884,2020-02-03,APD,"Air Products and Chemicals, Inc.",purchase,"$1,001 - $15,000",Josh Gottheimer
1885,2020-02-26,AMZN,"Amazon.com, Inc.",purchase,"$15,001 - $50,000",Josh Gottheimer
1886,2020-02-26,AAPL,Apple Inc.,purchase,"$15,001 - $50,000",Josh Gottheimer
1887,2020-02-03,AAPL,Apple Inc.,sale_partial,"$1,001 - $15,000",Josh Gottheimer
1888,2020-02-05,TEAM,Atlassian Corporation Plc - Class A Ordinary Shares,sale_partial,"$1,001 - $15,000",Josh Gottheimer
1889,2020-02-27,BSX,Boston Scientific Corporation,sale_partial,"$1,001 - $15,000",Josh Gottheimer
1890,2020-02-03,CTLT,"Catalent, Inc.",sale_partial,"$1,001 - $15,000",Josh Gottheimer
1891,2020-02-28,ECL,Ecolab Inc.,sale_full,"$1,001 - $15,000",Josh Gottheimer
1892,2020-02-05,EL,"Estee Lauder Companies, Inc.",sale_partial,"$1,001 - $15,000",Josh Gottheimer
1893,2020-02-18,HMN,Horace Mann Educators Corporation,purchase,"$1,001 - $15,000",Josh Gottheimer
1894,2020-02-14,HMN,Horace Mann Educators Corporation,purchase,"$1,001 - $15,000",Josh Gottheimer
1895,2020-02-03,IART,Integra LifeSciences Holdings Corporation,purchase,"$1,001 - $15,000",Josh Gottheimer
1896,2020-02-28,LRCX,Lam Research Corporation,purchase,"$1,001 - $15,000",Josh Gottheimer
1897,2020-02-28,LHCG,LHC Group - Common Stock,sale_partial,"$1,001 - $15,000",Josh Gottheimer
1898,2020-02-05,MELI,"MercadoLibre, Inc.",sale_partial,"$1,001 - $15,000",Josh Gottheimer
1899,2020-02-13,MSFT,Microsoft Corporation,purchase,"$50,001 - $100,000",Josh Gottheimer
1900,2020-02-13,MSFT,Microsoft Corporation,purchase,"$100,001 - $250,000",Josh Gottheimer
1901,2020-02-13,MSFT,Microsoft Corporation,purchase,"$250,001 - $500,000",Josh Gottheimer
1902,2020-02-13,MSFT,Microsoft Corporation,sale_full,"$50,001 - $100,000",Josh Gottheimer
1903,2020-02-13,MSFT,Microsoft Corporation,sale_full,"$250,001 - $500,000",Josh Gottheimer
1904,2020-02-13,MSFT,Microsoft Corporation,sale_full,"$50,001 - $100,000",Josh Gottheimer
1905,2020-02-13,MSFT,Microsoft Corporation,purchase,"$50,001 - $100,000",Josh Gottheimer
1906,2020-02-13,MSFT,Microsoft Corporation,purchase,"$250,001 - $500,000",Josh Gottheimer
1907,2020-02-13,MSFT,Microsoft Corporation,sale_full,"$100,001 - $250,000",Josh Gottheimer
1908,2020-02-13,MSFT,Microsoft Corporation,sale_full,"$100,001 - $250,000",Josh Gottheimer
1909,2020-02-13,MSFT,Microsoft Corporation,sale_full,"$100,001 - $250,000",Josh Gottheimer
1910,2020-02-13,MSFT,Microsoft Corporation,sale_full,"$250,001 - $500,000",Josh Gottheimer
1911,2020-02-13,MSFT,Microsoft Corporation,purchase,"$100,001 - $250,000",Josh Gottheimer
1912,2020-02-13,MSFT,Microsoft Corporation,purchase,"$100,001 - $250,000",Josh Gottheimer
1913,2020-02-13,MSFT,Microsoft Corporation,purchase,"$250,001 - $500,000",Josh Gottheimer
1914,2020-02-13,MSFT,Microsoft Corporation,purchase,"$100,001 - $250,000",Josh Gottheimer
1915,2020-02-13,MSFT,Microsoft Corporation,sale_full,"$100,001 - $250,000",Josh Gottheimer
1916,2020-02-13,MSFT,Microsoft Corporation,sale_full,"$100,001 - $250,000",Josh Gottheimer
1917,2020-02-26,MSFT,Microsoft Corporation,purchase,"$15,001 - $50,000",Josh Gottheimer
1918,2020-02-27,NFLX,"Netflix, Inc.",sale_partial,"$1,001 - $15,000",Josh Gottheimer
1919,2020-02-28,NVDA,NVIDIA Corporation,purchase,"$1,001 - $15,000",Josh Gottheimer
1920,2020-02-04,PCAR,PACCAR Inc.,sale_full,"$1,001 - $15,000",Josh Gottheimer
1921,2020-02-03,PCAR,PACCAR Inc.,sale_partial,"$1,001 - $15,000",Josh Gottheimer
1922,2020-02-14,PCTY,Paylocity Holding Corporation,sale_partial,"$1,001 - $15,000",Josh Gottheimer
1923,2020-02-27,PYPL,"PayPal Holdings, Inc.",sale_partial,"$1,001 - $15,000",Josh Gottheimer
1924,2020-02-03,PHR,"Phreesia, Inc.",purchase,"$1,001 - $15,000",Josh Gottheimer
1925,2020-02-14,RPD,"Rapid7, Inc.",purchase,"$1,001 - $15,000",Josh Gottheimer
1926,2020-02-18,SGEN,"Seattle Genetics, Inc.",purchase,"$1,001 - $15,000",Josh Gottheimer
1927,2020-02-18,SGIOY,Shionogi & Co Ltd Unsponsored ADR,purchase,"$1,001 - $15,000",Josh Gottheimer
1928,2020-02-14,SGIOY,Shionogi & Co Ltd Unsponsored ADR,purchase,"$1,001 - $15,000",Josh Gottheimer
1929,2020-02-03,UBSI,"United Bankshares, Inc.",sale_full,"$1,001 - $15,000",Josh Gottheimer
1930,2020-02-03,WMGI,Wright Medical Group N.V. - Ordinary Shares,sale_full,"$1,001 - $15,000",Josh Gottheimer
1931,2020-03-09,XOM,Exxon Mobil Corporation,purchase,"$15,001 - $50,000",Tom Rice
1932,2020-03-13,XOM,Exxon Mobil Corporation,sale_full,"$15,001 - $50,000",Tom Rice
1933,2020-03-10,GE,General Electric Company,sale_full,"$15,001 - $50,000",Tom Rice
1934,2020-01-02,NEE,"NextEra Energy, Inc.",sale_full,"$50,001 - $100,000",Debbie Dingell
1935,2020-01-08,NLY,Annaly Capital Management Inc,purchase,"$1,001 - $15,000",Bob Gibbs
1936,2020-01-08,AAPL,Apple Inc.,purchase,"$15,001 - $50,000",Bob Gibbs
1937,2020-01-08,SJM,J.M. Smucker Company,sale_full,"$15,001 - $50,000",Bob Gibbs
1938,2020-01-08,ORCL,Oracle Corporation,purchase,"$1,001 - $15,000",Bob Gibbs
1939,2020-01-08,VZ,Verizon Communications Inc.,purchase,"$1,001 - $15,000",Bob Gibbs
1940,2020-01-02,BKI,"Black Knight, Inc.",sale_partial,"$1,001 -",Alan S. Lowenthal
1941,2020-01-03,BKI,"Black Knight, Inc.",sale_partial,"$1,001 -",Alan S. Lowenthal
1942,2020-01-02,AAPL,Apple Inc.,sale_partial,"$1,001 - $15,000",Alan S. Lowenthal
1943,2020-01-02,BKI,"Black Knight, Inc.",sale_partial,"$1,001 - $15,000",Alan S. Lowenthal
1944,2020-01-03,BKI,"Black Knight, Inc.",sale_partial,"$1,001 - $15,000",Alan S. Lowenthal
1945,2020-01-02,ICE,Intercontinental Exchange Inc.,sale_partial,"$1,001 - $15,000",Alan S. Lowenthal
1946,2020-01-02,AAPL,Apple Inc.,sale_partial,"$1,001 -",Alan S. Lowenthal
1947,2020-01-02,BKI,"Black Knight, Inc.",sale_partial,"$1,001 -",Alan S. Lowenthal
1948,2020-01-03,BKI,"Black Knight, Inc.",sale_partial,"$1,001 -",Alan S. Lowenthal
1949,2020-01-02,ICE,Intercontinental Exchange Inc.,sale_partial,"$1,001 -",Alan S. Lowenthal
1950,2020-01-08,TDY,Teledyne Technologies Incorporated,purchase,"$1,001 - $15,000",Tom Rice
1951,2020-01-10,ABMD,"ABIOMEd, Inc.",purchase,"$1,001 - $15,000",Josh Gottheimer
1952,2020-01-14,AMGN,Amgen Inc.,purchase,"$1,001 - $15,000",Josh Gottheimer
1953,2020-01-29,AAPL,Apple Inc.,purchase,"$1,001 - $15,000",Josh Gottheimer
1954,2020-01-14,AAPL,Apple Inc.,purchase,"$1,001 - $15,000",Josh Gottheimer
1955,2020-01-10,BIDU,"Baidu, Inc. - American Depositary Shares, each Representing one Tenth Class A Ordinary Share",purchase,"$1,001 - $15,000",Josh Gottheimer
1956,2020-01-10,BBVA,Banco Bilbao Vizcaya Argentaria S.A.,purchase,"$1,001 - $15,000",Josh Gottheimer
1957,2020-01-07,BA,Boeing Company,sale_partial,"$1,001 - $15,000",Josh Gottheimer
1958,2020-01-21,BA,Boeing Company,sale_partial,"$1,001 - $15,000",Josh Gottheimer
1959,2020-01-10,BKNG,Booking Holdings Inc.,purchase,"$1,001 - $15,000",Josh Gottheimer
1960,2020-01-10,CCL,Carnival Corporation,purchase,"$1,001 - $15,000",Josh Gottheimer
1961,2020-01-10,CENT,Central Garden & Pet Company,purchase,"$1,001 - $15,000",Josh Gottheimer
1962,2020-01-10,CENTA,Central Garden & Pet Company - Class A Common Stock Nonvoting,purchase,"$1,001 - $15,000",Josh Gottheimer
1963,2020-01-10,CHL,China Mobile Limited,purchase,"$1,001 - $15,000",Josh Gottheimer
1964,2020-01-10,CMP,Compass Minerals Intl Inc,purchase,"$1,001 - $15,000",Josh Gottheimer
1965,2020-01-17,CSGP,"CoStar Group, Inc.",sale_partial,"$1,001 - $15,000",Josh Gottheimer
1966,2020-01-14,CRY,"CryoLife, Inc.",purchase,"$1,001 - $15,000",Josh Gottheimer
1967,2020-01-14,CYRX,"CryoPort, Inc.",purchase,"$1,001 - $15,000",Josh Gottheimer
1968,2020-01-10,DNTUY,Dentsu Inc Tokyo Unsponsored ADR,purchase,"$1,001 - $15,000",Josh Gottheimer
1969,2020-01-10,DRQ,"Dril-Quip, Inc.",purchase,"$1,001 - $15,000",Josh Gottheimer
1970,2020-01-22,EL,"Estee Lauder Companies, Inc.",sale_partial,"$1,001 - $15,000",Josh Gottheimer
1971,2020-01-22,EXAS,Exact Sciences Corporation,purchase,"$1,001 - $15,000",Josh Gottheimer
1972,2020-01-10,EXAS,Exact Sciences Corporation,purchase,"$1,001 - $15,000",Josh Gottheimer
1973,2020-01-10,BEN,"Franklin Resources, Inc.",purchase,"$1,001 - $15,000",Josh Gottheimer
1974,2020-01-17,FUPBY,Fuchs Petrolub SE Unsponsored American Depository Receipt Representing Preferenced Shares,sale_partial,"$1,001 - $15,000",Josh Gottheimer
1975,2020-01-30,KMTUY,Komatsu Ltd Ord American Depositary Shares,purchase,"$1,001 - $15,000",Josh Gottheimer
1976,2020-01-14,LULU,Lululemon Athletica inc.,sale_partial,"$1,001 - $15,000",Josh Gottheimer
1977,2020-01-09,MA,Mastercard Incorporated,sale_partial,"$1,001 - $15,000",Josh Gottheimer
1978,2020-01-10,MTDR,Matador Resources Company,purchase,"$1,001 - $15,000",Josh Gottheimer
1979,2020-01-14,MELI,"MercadoLibre, Inc.",sale_partial,"$1,001 - $15,000",Josh Gottheimer
1980,2020-01-16,MSFT,Microsoft Corporation,sale_partial,"$1,001 - $15,000",Josh Gottheimer
1981,2020-01-09,MSFT,Microsoft Corporation,sale_full,"$1,001 - $15,000",Josh Gottheimer
1982,2020-01-09,MSFT,Microsoft Corporation,sale_partial,"$1,001 - $15,000",Josh Gottheimer
1983,2020-01-10,PRIM,Primoris Services Corporation,purchase,"$1,001 - $15,000",Josh Gottheimer
1984,2020-01-10,SSL,Sasol Ltd. American Depositary Shares,purchase,"$1,001 - $15,000",Josh Gottheimer
1985,2020-01-10,SLB,Schlumberger N.V.,purchase,"$1,001 - $15,000",Josh Gottheimer
1986,2020-01-10,UBSI,"United Bankshares, Inc.",purchase,"$1,001 - $15,000",Josh Gottheimer
1987,2021-04-01,HOFV,Hall of Fame Resort & Entertainment Company,purchase,"$1,001 - $15,000",Bob Gibbs
1988,2021-03-31,DVN,Devon Energy Corporation,purchase,"$1,001 - $15,000",Kevin Hern
1989,2021-03-10,XOM,Exxon Mobil Corp,purchase,"$1,001 - $15,000",Kevin Hern
1990,2021-03-25,HD,Home Depot Inc,purchase,"$1,001 - $15,000",Kevin Hern
1991,2021-03-11,MSFT,Microsoft Corporation,purchase,"$1,001 - $15,000",Kevin Hern
1992,2021-03-29,WMB,Williams Companies Inc,purchase,"$1,001 - $15,000",Kevin Hern
1993,2021-03-03,BABA,Alibaba Group Holding Limited ADR Shares Rep 8 ord shares,purchase,"$1,001 - $15,000",James R. Langevin
1994,2021-03-04,APPL,Apple Inc,purchase,"$1,001 - $15,000",James R. Langevin
1995,2021-03-09,APPL,Apple Inc,sale_full,"$1,001 - $15,000",James R. Langevin
1996,2021-03-08,APPL,APPLE INC,purchase,"$1,001 - $15,000",James R. Langevin
1997,2021-03-15,FB,Facebook Class A,sale_full,"$1,001 - $15,000",James R. Langevin
1998,2021-03-23,FB,Facebook Class A,purchase,"$1,001 - $15,000",James R. Langevin
1999,2021-03-04,GNRC,Generac Holdings Inc,purchase,"$1,001 - $15,000",James R. Langevin
2000,2021-03-29,GNRC,Generac Holdings Inc,purchase,"$1,001 - $15,000",James R. Langevin
2001,2021-03-31,GNRC,"Generac Holdings Inc - Call Opts at $350, expires 4/16",sale_full,"$1,001 - $15,000",James R. Langevin
2002,2021-03-26,ROKU,"Roku Inc - Call Opts at $300, expires 4/30",purchase,"$1,001 - $15,000",James R. Langevin
2003,2021-03-24,ROKU,"Roku Inc - Call Opts at $130, expires 4/16",purchase,"$1,001 - $15,000",James R. Langevin
2004,2021-03-24,SQ,"Square inc Class A - Call Opts at $220, expires 4/9",purchase,"$1,001 - $15,000",James R. Langevin
2005,2021-03-31,SQ,"Square inc - Call Opts at $220, expires 4/9",sale_full,"$1,001 - $15,000",James R. Langevin
2006,2021-03-19,MSFT,Microsoft Corporation - Exercised 150 call options (15K shares) expiring 3/19/2021 @ $130,purchase,"$1,000,001 - $5,000,000",Nancy Pelosi
2007,2021-03-19,MSFT,Microsoft Corporation - Exercised 100 call options (10K shares) expiring 3/19/2021 @ $140,purchase,"$1,000,001 - $5,000,000",Nancy Pelosi
2008,2021-03-10,RBLX,Roblox Corporation - purchase 10K shares,purchase,"$500,001 - $1,000,000",Nancy Pelosi
2009,2021-03-11,--,King County WA School Dist No 414 Lake 1.75% 12/1/2024,purchase,"$100,001 - $250,000",Ann Wagner
2010,2021-03-15,--,Arkansas Cnty TX LTD Ntd 2021 3% 2/16/2022,purchase,"$100,001 - $250,000",Ann Wagner
2011,2020-03-26,ACN,Accenture plc Class A Ordinary Shares,purchase,"$1,001 - $15,000",Earl Blumenauer
2012,2020-02-28,AGN,Allergan plc Ordinary Shares,sale_full,"$1,001 - $15,000",Earl Blumenauer
2013,2020-03-20,AVT,"Avnet, Inc.",sale_full,"$1,001 - $15,000",Earl Blumenauer
2014,2020-03-19,BG,Bunge Limited Bunge Limited,sale_full,"$1,001 - $15,000",Earl Blumenauer
2015,2020-03-10,SCHW,Charles Schwab Corporation,purchase,"$1,001 - $15,000",Earl Blumenauer
2016,2020-03-02,CB,Chubb Limited,purchase,"$1,001 - $15,000",Earl Blumenauer
2017,2020-03-26,FRC,FIRST REPUBLIC BaNK,purchase,"$1,001 - $15,000",Earl Blumenauer
2018,2020-03-03,GD,General Dynamics Corporation,purchase,"$1,001 - $15,000",Earl Blumenauer
2019,2020-03-10,GD,General Dynamics Corporation,purchase,"$1,001 - $15,000",Earl Blumenauer
2020,2020-03-20,HD,"Home Depot, Inc.",purchase,"$1,001 - $15,000",Earl Blumenauer
2021,2020-03-04,HPQ,HP Inc.,sale_full,"$1,001 - $15,000",Earl Blumenauer
2022,2020-03-23,--,Intel Corp 2.7% Due 12/15/22,purchase,"$15,001 - $50,000",Earl Blumenauer
2023,2020-03-05,INTC,Intel Corporation,purchase,"$1,001 - $15,000",Earl Blumenauer
2024,2020-03-10,INTC,Intel Corporation,purchase,"$1,001 - $15,000",Earl Blumenauer
2025,2020-03-27,KEY,KeyCorp,sale_full,"$1,001 - $15,000",Earl Blumenauer
2026,2020-03-10,MEOH,Methanex Corporation,sale_full,"$1,001 - $15,000",Earl Blumenauer
2027,2020-04-01,--,Microsoft Corp 2.875%24 Due 02/06/24,purchase,"$15,001 - $50,000",Earl Blumenauer
2028,2020-03-03,MSFT,Microsoft Corporation,purchase,"$1,001 - $15,000",Earl Blumenauer
2029,2020-03-24,TAP,Molson Coors Beverage Company Class B,sale_full,"$1,001 - $15,000",Earl Blumenauer
2030,2020-03-26,NEM,Newmont Corporation,sale_partial,"$1,001 - $15,000",Earl Blumenauer
2031,2020-03-02,DGX,Quest Diagnostics Incorporated,purchase,"$1,001 - $15,000",Earl Blumenauer
2032,2020-03-03,SNOXX,Sch Treas Obligation MMF Investor Shares,purchase,"$250,001 - $500,000",Earl Blumenauer
2033,2020-03-05,SNOXX,Sch Treas Obligation MMF Investor Shares,sale_partial,"$1,001 - $15,000",Earl Blumenauer
2034,2020-03-04,SNOXX,Sch Treas Obligation MMF Investor Shares,sale_partial,"$50,001 - $100,000",Earl Blumenauer
2035,2020-03-10,SNOXX,Sch Treas Obligation MMF Investor Shares,sale_partial,"$15,001 - $50,000",Earl Blumenauer
2036,2020-03-23,SNOXX,Sch Treas Obligation MMF Investor Shares,sale_partial,"$15,001 - $50,000",Earl Blumenauer
2037,2020-03-26,SBUX,Starbucks Corporation,purchase,"$1,001 - $15,000",Earl Blumenauer
2038,2020-03-26,STT,State Street Corporation,sale_full,"$1,001 - $15,000",Earl Blumenauer
2039,2020-03-03,UL,Unilever PlC,purchase,"$1,001 - $15,000",Earl Blumenauer
2040,2020-03-02,--,Us TREASUR NT 2.25% 02/20,sale_full,"$250,001 - $500,000",Earl Blumenauer
2041,2020-03-05,--,Us Treasury Bill2ou S T Due 05/07/20,purchase,"$50,001 - $100,000",Earl Blumenauer
2042,2020-03-02,VIAC,ViacomCBs Inc. - Class B,purchase,"$1,001 - $15,000",Earl Blumenauer
2043,2020-02-28,DIS,Walt Disney Company,purchase,"$1,001 - $15,000",Earl Blumenauer
2044,2020-03-18,MMM,3M Company,sale_full,"$1,001 - $15,000",Gilbert Cisneros
2045,2020-03-31,AIR,AAR Corp.,sale_full,"$1,001 - $15,000",Gilbert Cisneros
2046,2020-03-18,ABT,Abbott Laboratories,purchase,"$1,001 - $15,000",Gilbert Cisneros
2047,2020-03-12,ATVI,"Activision Blizzard, Inc",sale_partial,"$15,001 - $50,000",Gilbert Cisneros
2048,2020-03-13,ATVI,"Activision Blizzard, Inc",sale_partial,"$1,001 - $15,000",Gilbert Cisneros
2049,2020-03-18,AMG,"Affiliated Managers Group, Inc.",sale_full,"$1,001 - $15,000",Gilbert Cisneros
2050,2020-03-18,AFL,AFLAC Incorporated,sale_full,"$1,001 - $15,000",Gilbert Cisneros
2051,2020-03-18,AKAM,"Akamai Technologies, Inc.",purchase,"$1,001 - $15,000",Gilbert Cisneros
2052,2020-03-18,ALXN,"Alexion Pharmaceuticals, Inc.",purchase,"$1,001 - $15,000",Gilbert Cisneros
2053,2020-03-16,BABA,Alibaba Group Holding Limited American Depositary Shares each Representing Eight Ordinary Share,sale_partial,"$1,001 - $15,000",Gilbert Cisneros
2054,2020-03-16,ALGN,"Align Technology, Inc.",purchase,"$1,001 - $15,000",Gilbert Cisneros
2055,2020-03-18,ALGN,"Align Technology, Inc.",purchase,"$1,001 - $15,000",Gilbert Cisneros
2056,2020-03-31,ALGT,Allegiant Travel Company,sale_partial,"$1,001 - $15,000",Gilbert Cisneros
2057,2020-03-18,GOOGL,Alphabet Inc. - Class A,purchase,"$1,001 - $15,000",Gilbert Cisneros
2058,2020-03-18,GOOG,Alphabet Inc. - Class C Capital Stock,sale_partial,"$1,001 - $15,000",Gilbert Cisneros
2059,2020-03-18,AIG,"American International Group, Inc. New",sale_full,"$1,001 - $15,000",Gilbert Cisneros
2060,2020-03-18,ANTM,"Anthem, Inc.",purchase,"$1,001 - $15,000",Gilbert Cisneros
2061,2020-04-02,AON,Aon plc Class A Ordinary Shares,purchase,"$1,001 - $15,000",Gilbert Cisneros
2062,2020-03-18,T,AT&T Inc.,sale_partial,"$15,001 - $50,000",Gilbert Cisneros
2063,2020-03-18,TEAM,Atlassian Corporation Plc - Class A Ordinary Shares,purchase,"$1,001 - $15,000",Gilbert Cisneros
2064,2020-03-31,ATRC,"AtriCure, Inc.",purchase,"$1,001 - $15,000",Gilbert Cisneros
2065,2020-03-18,BRK.B,Berkshire Hathaway Inc. New,purchase,"$1,001 - $15,000",Gilbert Cisneros
2066,2020-03-18,BIIB,Biogen Inc.,sale_full,"$1,001 - $15,000",Gilbert Cisneros
2067,2020-03-18,BA,Boeing Company,purchase,"$1,001 - $15,000",Gilbert Cisneros
2068,2020-03-12,BKNG,Booking Holdings Inc.,purchase,"$1,001 - $15,000",Gilbert Cisneros
2069,2020-03-18,BKNG,Booking Holdings Inc.,sale_partial,"$1,001 - $15,000",Gilbert Cisneros
2070,2020-03-18,BXP,"Boston Properties, Inc.",purchase,"$1,001 - $15,000",Gilbert Cisneros
2071,2020-03-18,BSX,Boston Scientific Corporation,purchase,"$1,001 - $15,000",Gilbert Cisneros
2072,2020-03-18,BHF,"Brighthouse Financial, Inc.",sale_partial,"$1,001 - $15,000",Gilbert Cisneros
2073,2020-03-18,BMY,Bristol-Myers Squibb Company,sale_partial,"$1,001 - $15,000",Gilbert Cisneros
2074,2020-03-05,BR,"Broadridge Financial Solutions, Inc.",purchase,"$1,001 - $15,000",Gilbert Cisneros
2075,2020-03-18,BR,"Broadridge Financial Solutions, Inc.",purchase,"$1,001 - $15,000",Gilbert Cisneros
2076,2020-03-26,CACI,"CACI International, Inc. Class A",purchase,"$1,001 - $15,000",Gilbert Cisneros
2077,2020-03-13,--,California Department of Water Resources,sale_partial,"$100,001 - $250,000",Gilbert Cisneros
2078,2020-03-23,GOOS,Canada Goose Holdings Inc. Subordinate Voting Shares,sale_partial,"$1,001 - $15,000",Gilbert Cisneros
2079,2020-03-24,GOOS,Canada Goose Holdings Inc. Subordinate Voting Shares,sale_partial,"$1,001 - $15,000",Gilbert Cisneros
2080,2020-03-25,GOOS,Canada Goose Holdings Inc. Subordinate Voting Shares,sale_full,"$1,001 - $15,000",Gilbert Cisneros
2081,2020-03-18,COF,Capital one Financial Corporation,sale_full,"$1,001 - $15,000",Gilbert Cisneros
2082,2020-03-18,CPRI,Capri Holdings Limited Ordinary Shares,purchase,"$1,001 - $15,000",Gilbert Cisneros
2083,2020-03-18,CAH,"Cardinal Health, Inc.",purchase,"$1,001 - $15,000",Gilbert Cisneros
2084,2020-04-02,KMX,CarMax Inc,purchase,"$1,001 - $15,000",Gilbert Cisneros
2085,2020-03-18,CAT,"Caterpillar, Inc.",purchase,"$1,001 - $15,000",Gilbert Cisneros
2086,2020-03-18,CNP,"CenterPoint Energy, Inc",sale_full,"$1,001 - $15,000",Gilbert Cisneros
2087,2020-03-18,CTL,"CenturyLink, Inc.",sale_full,"$1,001 - $15,000",Gilbert Cisneros
2088,2020-03-18,CF,"CF Industries Holdings, Inc.",purchase,"$1,001 - $15,000",Gilbert Cisneros
2089,2020-03-18,CB,Chubb Limited,purchase,"$1,001 - $15,000",Gilbert Cisneros
2090,2020-03-18,CI,Cigna Corporation,sale_partial,"$1,001 - $15,000",Gilbert Cisneros
2091,2020-03-18,C,"Citigroup, Inc.",purchase,"$1,001 - $15,000",Gilbert Cisneros
2092,2020-03-18,CFG,"Citizens Financial Group, Inc.",purchase,"$1,001 - $15,000",Gilbert Cisneros
2093,2020-03-18,CTSH,Cognizant Technology Solutions Corporation - Class A,sale_partial,"$1,001 - $15,000",Gilbert Cisneros
2094,2020-03-18,CL,Colgate-Palmolive Company,sale_partial,"$1,001 - $15,000",Gilbert Cisneros
2095,2020-03-18,CMCSA,Comcast Corporation - Class A,purchase,"$1,001 - $15,000",Gilbert Cisneros
2096,2020-03-18,CMA,Comerica Incorporated,sale_full,"$1,001 - $15,000",Gilbert Cisneros
2097,2020-03-18,CTVA,"Corteva, Inc.",purchase,"$1,001 - $15,000",Gilbert Cisneros
2098,2020-03-27,CSGP,"COSTAR Group, Inc.",purchase,"$15,001 - $50,000",Gilbert Cisneros
2099,2020-03-30,CSGP,"COSTAR Group, Inc.",purchase,"$1,001 - $15,000",Gilbert Cisneros
2100,2020-03-18,COTY,Coty Inc. Class A,sale_full,"$1,001 - $15,000",Gilbert Cisneros
2101,2020-03-18,CCI,Crown Castle International Corp.,purchase,"$1,001 - $15,000",Gilbert Cisneros
2102,2020-03-18,DAL,"Delta air Lines, Inc.",sale_full,"$1,001 - $15,000",Gilbert Cisneros
2103,2020-03-18,DLR,"Digital Realty Trust, Inc.",purchase,"$1,001 - $15,000",Gilbert Cisneros
2104,2020-03-18,DFS,Discover Financial Services,sale_full,"$1,001 - $15,000",Gilbert Cisneros
2105,2020-03-18,DISCA,"Discovery, Inc. - Series A",purchase,"$1,001 - $15,000",Gilbert Cisneros
2106,2020-03-18,DLTR,"Dollar Tree, Inc.",sale_full,"$1,001 - $15,000",Gilbert Cisneros
2107,2020-03-18,DD,"DUPONT de Nemours, Inc.",sale_full,"$1,001 - $15,000",Gilbert Cisneros
2108,2020-03-18,DXC,DXC Technology Company,purchase,"$1,001 - $15,000",Gilbert Cisneros
2109,2020-03-18,EMN,Eastman Chemical Company,sale_full,"$1,001 - $15,000",Gilbert Cisneros
2110,2020-03-16,EXAS,Exact Sciences Corporation,purchase,"$1,001 - $15,000",Gilbert Cisneros
2111,2020-03-18,EXC,Exelon Corporation,purchase,"$1,001 - $15,000",Gilbert Cisneros
2112,2020-03-31,EXLS,"ExlService Holdings, Inc.",sale_full,"$1,001 - $15,000",Gilbert Cisneros
2113,2020-03-18,FIS,"Fidelity National Information Services, Inc.",sale_partial,"$1,001 - $15,000",Gilbert Cisneros
2114,2020-03-18,FITB,Fifth Third Bancorp,purchase,"$1,001 - $15,000",Gilbert Cisneros
2115,2020-03-18,FISV,"Fiserv, Inc.",purchase,"$1,001 - $15,000",Gilbert Cisneros
2116,2020-03-18,FLT,"FleetCor Technologies, Inc.",purchase,"$1,001 - $15,000",Gilbert Cisneros
2117,2020-03-18,FLEX,Flex Ltd. - Ordinary Shares,purchase,"$1,001 - $15,000",Gilbert Cisneros
2118,2020-03-18,F,Ford Motor Company,purchase,"$1,001 - $15,000",Gilbert Cisneros
2119,2020-03-18,BEN,"Franklin Resources, Inc.",purchase,"$1,001 - $15,000",Gilbert Cisneros
2120,2020-03-18,FCX,"Freeport-MCMORAN, Inc.",sale_full,"$1,001 - $15,000",Gilbert Cisneros
2121,2020-03-18,IT,"Gartner, Inc.",purchase,"$1,001 - $15,000",Gilbert Cisneros
2122,2020-03-18,GD,General Dynamics Corporation,purchase,"$1,001 - $15,000",Gilbert Cisneros
2123,2020-03-18,GE,General Electric Company,sale_full,"$1,001 - $15,000",Gilbert Cisneros
2124,2020-03-18,GM,General Motors Company,sale_partial,"$1,001 - $15,000",Gilbert Cisneros
2125,2020-03-18,GILD,"Gilead Sciences, Inc.",purchase,"$1,001 - $15,000",Gilbert Cisneros
2126,2020-03-31,GBCI,"Glacier Bancorp, Inc.",purchase,"$1,001 - $15,000",Gilbert Cisneros
2127,2020-03-18,GPN,Global Payments Inc.,purchase,"$1,001 - $15,000",Gilbert Cisneros
2128,2020-03-10,GLOB,Globant S.A. Common Shares,sale_partial,"$1,001 - $15,000",Gilbert Cisneros
2129,2020-03-31,GLOB,Globant S.A. Common Shares,sale_full,"$1,001 - $15,000",Gilbert Cisneros
