"Name","Total Raised","Total from Small Donors","Percent from Small Donors*","total money raised"
"HigginsBrian M Higgins (D)","$1124168","$40634","3.61%","Raised over $100k"
"JacobsChris Jacobs (R)","$2147101","$76827","3.58%","Raised over $100k"
"ScottRick Scott (R)","$86640430","$3058490","3.53%","Raised over $100k"
"BarrassoJohn A Barrasso (R)","$7539985","$265361","3.52%","Raised over $100k"
"SmithJason Smith (R)","$1900227","$66579","3.50%","Raised over $100k"
"JeffriesHakeem Jeffries (D)","$4168717","$142068","3.41%","Raised over $100k"
"CarperTom Carper (D)","$4437791","$150865","3.40%","Raised over $100k"
"WickerRoger Wicker (R)","$7024927","$238025","3.39%","Raised over $100k"
"LangevinJim Langevin (D)","$1102312","$37161","3.37%","Raised over $100k"
"RuppersbergerDutch Ruppersberger (D)","$1012835","$33704","3.33%","Raised over $100k"
"BrooksMo Brooks (R)","$655365","$21804","3.33%","Raised over $100k"
"SpeierJackie Speier (D)","$942934","$31338","3.32%","Raised over $100k"
"DoggettLloyd Doggett (D)","$1336576","$44273","3.31%","Raised over $100k"
"BurgessMichael Burgess (R)","$1806588","$59632","3.30%","Raised over $100k"
"YarmuthJohn A Yarmuth (D)","$658295","$21416","3.25%","Raised over $100k"
"PanettaJimmy Panetta (D)","$2009894","$64880","3.23%","Raised over $100k"
"BarraganNanette Barragan (D)","$1173909","$37853","3.22%","Raised over $100k"
"CardinBen Cardin (D)","$4766517","$152556","3.20%","Raised over $100k"
"MengGrace Meng (D)","$1292084","$40755","3.15%","Raised over $100k"
"WalorskiJackie Walorski (R)","$2383467","$75088","3.15%","Raised over $100k"
"AbrahamRalph Abraham (R)","$36715","$1145","3.12%","Raised less than $100k"
"WhitehouseSheldon Whitehouse (D)","$6598997","$204809","3.10%","Raised over $100k"
"BeattyJoyce Beatty (D)","$2237887","$69145","3.09%","Raised over $100k"
"RouzerDavid Rouzer (R)","$1628458","$49761","3.06%","Raised over $100k"
"MurkowskiLisa Murkowski (R)","$6288349","$191493","3.05%","Raised over $100k"
"MurphyStephanie Murphy (D)","$3124692","$95061","3.04%","Raised over $100k"
"BuchananVernon Buchanan (R)","$3094611","$93879","3.03%","Raised over $100k"
"HillFrench Hill (R)","$3384490","$102118","3.02%","Raised over $100k"
"LongBilly Long (R)","$1320420","$39697","3.01%","Raised over $100k"
"GaramendiJohn Garamendi (D)","$1054066","$31566","2.99%","Raised over $100k"
"MorelleJoseph D Morelle (D)","$1375366","$40564","2.95%","Raised over $100k"
"WatersMaxine Waters (D)","$1836660","$53384","2.91%","Raised over $100k"
"GarciaSylvia Garcia (D)","$818984","$23702","2.89%","Raised over $100k"
"DeutchTed Deutch (D)","$1364438","$39486","2.89%","Raised over $100k"
"CleaverEmanuel Cleaver (D)","$1393847","$40099","2.88%","Raised over $100k"
"GonzalezAnthony Gonzalez (R)","$2338195","$66482","2.84%","Raised over $100k"
"MenendezRobert Menendez (D)","$12295726","$348059","2.83%","Raised over $100k"
"BoozmanJohn Boozman (R)","$5156296","$145656","2.82%","Raised over $100k"
"JoyceDavid P Joyce (R)","$2917696","$81917","2.81%","Raised over $100k"
"SerranoJose E Serrano (D)","$12750","$351","2.75%","Raised less than $100k"
"LipinskiDaniel Lipinski (D)","$1587837","$41699","2.63%","Raised over $100k"
"CohenSteve Cohen (D)","$607570","$15929","2.62%","Raised over $100k"
"LawsonAl Lawson (D)","$848498","$21951","2.59%","Raised over $100k"
"LarsonJohn B Larson (D)","$1377238","$35297","2.56%","Raised over $100k"
"CarsonAndre Carson (D)","$1011635","$25864","2.56%","Raised over $100k"
"BuckKen Buck (R)","$478984","$12022","2.51%","Raised over $100k"
"TaylorVan Taylor (R)","$2655327","$65794","2.48%","Raised over $100k"
"GottheimerJosh Gottheimer (D)","$7694027","$184327","2.40%","Raised over $100k"
"JohnsonBill Johnson (R)","$1866123","$43812","2.35%","Raised over $100k"
"GuthrieBrett Guthrie (R)","$1412797","$33107","2.34%","Raised over $100k"
"GibbsBob Gibbs (R)","$791888","$18408","2.32%","Raised over $100k"
"FulcherRuss Fulcher (R)","$575485","$13237","2.30%","Raised over $100k"
"GrangerKay Granger (R)","$3161288","$71854","2.27%","Raised over $100k"
"LoudermilkBarry Loudermilk (R)","$877767","$19924","2.27%","Raised over $100k"
"CalvertKen Calvert (R)","$1441812","$32289","2.24%","Raised over $100k"
"SuozziTom Suozzi (D)","$2941006","$64453","2.19%","Raised over $100k"
"BairdJim Baird (R)","$327727","$7152","2.18%","Raised over $100k"
"ReedTom Reed (R)","$3275177","$71186","2.17%","Raised over $100k"
"MoranJerry Moran (R)","$6452506","$136996","2.12%","Raised over $100k"
"WaldenGreg Walden (R)","$1356393","$28644","2.11%","Raised over $100k"
"DavisDanny K Davis (D)","$544690","$11371","2.09%","Raised over $100k"
"LofgrenZoe Lofgren (D)","$1755555","$36303","2.07%","Raised over $100k"
"LoweyNita M Lowey (D)","$644098","$13270","2.06%","Raised over $100k"
"SmithAdam Smith (D)","$1324761","$26980","2.04%","Raised over $100k"
"EshooAnna Eshoo (D)","$2114909","$42953","2.03%","Raised over $100k"
"NorcrossDon Norcross (D)","$2221989","$43824","1.97%","Raised over $100k"
"CookPaul Cook (R)","$312453","$6138","1.96%","Raised over $100k"
"ReedJack Reed (D)","$4000209","$77233","1.93%","Raised over $100k"
"SchraderKurt Schrader (D)","$2018692","$38798","1.92%","Raised over $100k"
"HuizengaBill Huizenga (R)","$2175411","$41577","1.91%","Raised over $100k"
"CrapoMike Crapo (R)","$6987050","$133228","1.91%","Raised over $100k"
"LeahyPatrick Leahy (D)","$4794213","$89295","1.86%","Raised over $100k"
"RutherfordJohn Rutherford (R)","$1024912","$18538","1.81%","Raised over $100k"
"EstesRon Estes (R)","$1993808","$35889","1.80%","Raised over $100k"
"DunnNeal Dunn (R)","$653488","$11722","1.79%","Raised over $100k"
"SanchezLinda Sanchez (D)","$1246008","$22025","1.77%","Raised over $100k"
"KapturMarcy Kaptur (D)","$1090395","$19242","1.76%","Raised over $100k"
"KustoffDavid Kustoff (R)","$1641217","$26882","1.64%","Raised over $100k"
"EspaillatAdriano Espaillat (D)","$1087237","$17553","1.61%","Raised over $100k"
"BishopSanford Bishop (D)","$1540683","$24059","1.56%","Raised over $100k"
"HeckDennis Heck (D)","$261822","$4085","1.56%","Raised over $100k"
"OlsonPete Olson (R)","$494726","$7681","1.55%","Raised over $100k"
"BoyleBrendan Boyle (D)","$1556650","$23796","1.53%","Raised over $100k"
"BerniceEddie Bernice Johnson (D)","$589096","$8980","1.52%","Raised over $100k"
"YohoTed Yoho (R)","$90585","$1379","1.52%","Raised less than $100k"
"CorreaLou Correa (D)","$1192715","$18141","1.52%","Raised over $100k"
"QuigleyMike Quigley (D)","$1171507","$17760","1.52%","Raised over $100k"
"BrownAnthony Brown (D)","$1446636","$21740","1.50%","Raised over $100k"
"HollingsworthTrey Hollingsworth (R)","$1166754","$17484","1.50%","Raised over $100k"
"BucshonLarry Bucshon (R)","$1051336","$15750","1.50%","Raised over $100k"
"BassKaren Bass (D)","$2216467","$33182","1.50%","Raised over $100k"
"ThornberryMac Thornberry (R)","$428819","$6345","1.48%","Raised over $100k"
"StiversSteve Stivers (R)","$3004799","$44396","1.48%","Raised over $100k"
"TimmonsWilliam Timmons (R)","$977784","$14367","1.47%","Raised over $100k"
"SmithAdrian Smith (R)","$1506473","$22082","1.47%","Raised over $100k"
"ButterfieldG K Butterfield (D)","$1032869","$14904","1.44%","Raised over $100k"
"FloresBill Flores (R)","$373523","$5383","1.44%","Raised over $100k"
"PascrellBill Pascrell Jr. (D)","$1560550","$22339","1.43%","Raised over $100k"
"KellyMike Kelly (R)","$2239488","$31840","1.42%","Raised over $100k"
"GonzalezVicente Gonzalez (D)","$1008381","$13893","1.38%","Raised over $100k"
"JoyceJohn Joyce (R)","$1119769","$15392","1.37%","Raised over $100k"
"GomezJimmy Gomez (D)","$1401166","$18656","1.33%","Raised over $100k"
"MullinMarkwayne Mullin (R)","$1660206","$21814","1.31%","Raised over $100k"
"McKinleyDavid McKinley (R)","$1092609","$14287","1.31%","Raised over $100k"
"SmuckerLloyd Smucker (R)","$1349318","$17562","1.30%","Raised over $100k"
"LambornDouglas L Lamborn (R)","$540712","$7037","1.30%","Raised over $100k"
"WilliamsRoger Williams (R)","$2435121","$31379","1.29%","Raised over $100k"
"ColemanAmata Coleman Radewagen (R)","$75727","$971","1.28%","Raised less than $100k"
"SewellTerri A Sewell (D)","$2168165","$27663","1.28%","Raised over $100k"
"ComerJames Comer (R)","$736116","$9223","1.25%","Raised over $100k"
"AmodeiMark Amodei (R)","$1048056","$12982","1.24%","Raised over $100k"
"DavisSusan Davis (D)","$103492","$1265","1.22%","Raised over $100k"
"HoldingGeorge Holding (R)","$944909","$11250","1.19%","Raised over $100k"
"GoodenLance Gooden (R)","$1610327","$19030","1.18%","Raised over $100k"
"VeaseyMarc Veasey (D)","$1621929","$18607","1.15%","Raised over $100k"
"PayneDonald M Payne Jr. (D)","$593735","$6737","1.13%","Raised over $100k"
"MeuserDan Meuser (R)","$1071961","$12113","1.13%","Raised over $100k"
"SotoDarren Soto (D)","$1111750","$12458","1.12%","Raised over $100k"
"LynchStephen F Lynch (D)","$905614","$9951","1.10%","Raised over $100k"
"BrooksSusan Brooks (R)","$192137","$2102","1.09%","Raised over $100k"
"CuellarHenry Cuellar (D)","$2655317","$28876","1.09%","Raised over $100k"
"ThompsonBennie G Thompson (D)","$1377392","$14741","1.07%","Raised over $100k"
"SimpsonMike Simpson (R)","$1008847","$10383","1.03%","Raised over $100k"
"JacksonSheila Jackson Lee (D)","$924480","$9496","1.03%","Raised over $100k"
"TroneDavid Trone (D)","$2944893","$29596","1.00%","Raised over $100k"
"LucasFrank D Lucas (R)","$872749","$8765","1.00%","Raised over $100k"
"ClayWilliam L Clay Jr. (D)","$813393","$7586","0.93%","Raised over $100k"
"CardenasTony Cardenas (D)","$1419697","$13133","0.93%","Raised over $100k"
"HolmesEleanor Holmes Norton (D)","$386989","$3514","0.91%","Raised over $100k"
"ColeTom Cole (R)","$1812530","$16400","0.90%","Raised over $100k"
"ScottAustin Scott (R)","$821745","$7208","0.88%","Raised over $100k"
"DesjarlaisScott Desjarlais (R)","$331464","$2867","0.86%","Raised over $100k"
"RoseJohn Rose (R)","$1050429","$8874","0.84%","Raised over $100k"
"ShermanBrad Sherman (D)","$1513374","$12705","0.84%","Raised over $100k"
"CurtisJohn Curtis (R)","$874311","$7287","0.83%","Raised over $100k"
"GravesSam Graves (R)","$1959516","$15864","0.81%","Raised over $100k"
"LuetkemeyerBlaine Luetkemeyer (R)","$2022905","$16287","0.81%","Raised over $100k"
"RichmondCedric Richmond (D)","$1628289","$13034","0.80%","Raised over $100k"
"RobyMartha Roby (R)","$250770","$1900","0.76%","Raised over $100k"
"MeeksGregory W Meeks (D)","$2097572","$15470","0.74%","Raised over $100k"
"PlaskettStacey Plaskett (D)","$438578","$3219","0.73%","Raised over $100k"
"ArringtonJodey Arrington (R)","$2497184","$17831","0.71%","Raised over $100k"
"HoyerSteny H Hoyer (D)","$4587189","$31588","0.69%","Raised over $100k"
"NealRichard E Neal (D)","$4949384","$33631","0.68%","Raised over $100k"
"DoyleMike Doyle (D)","$1008711","$6771","0.67%","Raised over $100k"
"PalloneFrank Pallone Jr. (D)","$3231755","$21283","0.66%","Raised over $100k"
"RiceTom Rice (R)","$1405738","$9124","0.65%","Raised over $100k"
"MatsuiDoris Matsui (D)","$1019605","$6570","0.64%","Raised over $100k"
"WilsonFrederica Wilson (D)","$412592","$2657","0.64%","Raised over $100k"
"HastingsAlcee L Hastings (D)","$607649","$3909","0.64%","Raised over $100k"
"GravesGarret Graves (R)","$1743015","$10978","0.63%","Raised over $100k"
"PalazzoSteven Palazzo (R)","$817129","$4862","0.60%","Raised over $100k"
"Roybal-AllardLucille Roybal-Allard (D)","$739790","$4296","0.58%","Raised over $100k"
"NapolitanoGrace Napolitano (D)","$478426","$2407","0.50%","Raised over $100k"
"RogersMike D Rogers (R)","$1193111","$5315","0.45%","Raised over $100k"
"BradyKevin Brady (R)","$3570477","$15167","0.42%","Raised over $100k"
"VelaFilemon Vela (D)","$983026","$4069","0.41%","Raised over $100k"
"FleischmannChuck Fleischmann (R)","$1051653","$4285","0.41%","Raised over $100k"
"SiresAlbio Sires (D)","$605810","$2293","0.38%","Raised over $100k"
"McHenryPatrick McHenry (R)","$2780234","$9653","0.35%","Raised over $100k"
"CostaJim Costa (D)","$2135525","$7305","0.34%","Raised over $100k"
"ShelbyRichard C Shelby (R)","$3715199","$10555","0.28%","Raised over $100k"
"RobertsPat Roberts (R)","$934102","$2211","0.24%","Raised over $100k"
"VargasJuan Vargas (D)","$799734","$1864","0.23%","Raised over $100k"
"MitchellPaul Mitchell (R)","$212351","$450","0.21%","Raised over $100k"
"ScottDavid Scott (D)","$1209614","$2322","0.19%","Raised over $100k"
"SensenbrennerJim Sensenbrenner (R)","$62873","$118","0.19%","Raised less than $100k"
"RushBobby L Rush (D)","$541435","$1015","0.19%","Raised over $100k"
"Diaz-BalartMario Diaz-Balart (R)","$1590134","$2606","0.16%","Raised over $100k"
"SablanGregorio Sablan (I)","$71307","$105","0.15%","Raised less than $100k"
"AlexanderLamar Alexander (R)","$450365","$650","0.14%","Raised over $100k"
"PalmerGary Palmer (R)","$907219","$1095","0.12%","Raised over $100k"
"RogersHal Rogers (R)","$664168","$676","0.10%","Raised over $100k"
"MarchantKenny Marchant (R)","$454043","$450","0.10%","Raised over $100k"
"EnziMike Enzi (R)","$383111","$285","0.07%","Raised over $100k"
"KindRon Kind (D)","$2989262","$454","0.02%","Raised over $100k"
"ConawayMike Conaway (R)","$410261","$0","0.00%","Raised over $100k"
"GreenMark Green (R)","$1194960","$0","0.00%","Raised over $100k"
"CollinsChris Collins (R)","$17420","$0","0.00%","Raised less than $100k"
"ViscloskyPete Visclosky (D)","$488747","$0","0.00%","Raised over $100k"
"RooneyFrancis Rooney (R)","-$561303","$815","-0.15%","Raised less than $100k"
